Drop Number,Landed Coin,Drop Orientation,Distance to origin
1,1,0,17
2,1,0,25
3,1,0,13
4,1,0,37
5,0,0,42
6,1,0,11
7,0,0,17
8,1,0,6
9,0,0,8
10,1,0,4
11,0,0,12
12,1,0,9
13,0,0,7
14,1,0,14
15,0,0,63
16,0,0,11
17,0,0,23
18,0,0,7
19,0,0,1
20,0,0,31
21,0,0,36
22,0,0,20
23,1,0,9
24,0,0,7
25,0,0,2
26,1,0,43
27,0,0,3
28,0,0,43
29,0,0,8
30,1,0,35
31,1,0,3
32,1,0,54
33,0,0,60
34,1,0,21
35,1,0,7
36,1,1,26
37,1,1,123
38,1,1,7
39,1,1,13
40,0,1,7
41,1,1,17
42,1,1,24
43,1,1,7
44,0,1,11
45,1,1,12
46,0,1,65
47,0,1,7
48,0,1,19
49,1,1,12
50,0,1,9
51,1,1,4
52,1,1,5
53,1,1,11
54,1,1,50
55,1,1,4
56,1,1,10
57,1,1,23
58,1,1,4
59,1,1,3
60,0,1,1
61,1,1,11
62,1,1,45
63,1,1,8
64,0,1,11
65,1,1,5
66,1,1,9
67,0,1,3
68,0,1,33
69,1,1,8
70,1,1,10
71,1,2,13
72,0,2,22
73,0,2,40
74,1,2,12
75,1,2,3
76,1,2,54
77,1,2,46
78,1,2,17
79,1,2,31
80,0,2,4
81,1,2,14
82,0,2,27
83,0,2,39
84,1,2,10
85,0,2,59
86,1,2,13
87,0,2,10
88,0,2,58
89,1,2,11
90,0,2,10
91,1,2,27
92,0,2,28
93,0,2,62
94,1,2,63
95,0,2,35
96,1,2,14
97,0,2,271
98,1,2,229
99,1,2,15
100,0,2,28
101,0,2,22
102,0,2,3
103,1,2,6
104,1,2,7
105,0,2,10
